Stanice ID|Doména ID|Přístroj|Začátek měření|Konec měření|Výška přístroje [m]
U2LIBC01|Fmax|Anemograf|1971-08-01|1977-06-30|10
U2LIBC01|Fmax|Anemograf|1977-08-01|1990-08-14|10
U2LIBC01|Fmax|Anemograf|1997-10-01|1998-02-28|10.3
U2LIBC01|Fmax|Anemograf|1998-04-01|2003-09-30|10.3
U2LIBC01|Fmax|Anemometr miskový|2003-10-01|2012-05-13|10.3
U2LIBC01|Fmax|Anemometr miskový|2012-05-14|2016-12-31|9.7
U2LIBC01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|9.7
U2SMED01|Fmax|Ultrasonický snímač|2013-10-31|2020-12-31|10
U2STRR01|Fmax|Anemometr miskový|2004-12-01|2020-12-31|10
O1BILA01|Fmax|Anemometr miskový|2010-07-14|2020-12-31|10
O1CERV01|Fmax|Anemograf|1961-01-01|1998-12-31|11.75
O1CERV01|Fmax|Anemometr miskový|1999-01-01|2009-05-19|11.75
O1CERV01|Fmax|Anemometr miskový|2009-05-20|2010-10-18|12
O1CERV01|Fmax|Ultrasonický snímač|2010-10-19|2020-12-31|11.7
O1FMOL01|Fmax|Anemometr miskový|2014-01-08|2020-12-31|10
O1JABL01|Fmax|Anemometr miskový|2012-03-27|2020-12-31|10
O1JAVR01|Fmax|Ultrasonický snímač|2012-09-12|2020-12-31|8
O1KARV01|Fmax|Anemometr miskový|2004-03-18|2008-01-31|10
O1KARV01|Fmax|Anemometr miskový|2011-03-29|2020-12-31|10
O1LUCI01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O1LYSA01|Fmax|Anemograf|1961-08-01|1961-09-30|10
O1LYSA01|Fmax|Anemograf|1962-07-01|1962-09-30|10
O1LYSA01|Fmax|Anemograf|1963-05-01|1963-11-30|10
O1LYSA01|Fmax|Anemograf|1964-05-01|1964-10-31|10
O1LYSA01|Fmax|Anemograf|1965-07-01|1965-10-31|10
O1LYSA01|Fmax|Anemograf|1966-05-01|1966-10-31|10
O1LYSA01|Fmax|Anemograf|1967-05-01|1967-10-31|10
O1LYSA01|Fmax|Anemograf|1968-05-01|1968-11-10|10
O1LYSA01|Fmax|Anemograf|1970-09-01|1970-09-30|10
O1LYSA01|Fmax|Anemograf|1970-11-01|1970-11-30|10
O1LYSA01|Fmax|Anemograf|1972-07-01|1972-09-30|10
O1LYSA01|Fmax|Anemograf|1973-07-01|1973-10-11|10
O1LYSA01|Fmax|Anemograf|1974-06-01|1974-09-30|10
O1LYSA01|Fmax|Anemograf|1976-08-01|1976-10-31|10
O1LYSA01|Fmax|Anemograf|1977-06-01|1977-09-30|10
O1LYSA01|Fmax|Anemograf|1978-08-01|1978-10-31|10
O1LYSA01|Fmax|Anemograf|1979-05-01|1979-08-31|10
O1LYSA01|Fmax|Anemograf|1980-01-01|1980-08-31|10
O1LYSA01|Fmax|Anemograf|1980-10-08|1992-12-31|10
O1LYSA01|Fmax|Anemograf|1993-05-01|1993-07-31|10
O1LYSA01|Fmax|Anemograf|1993-10-01|1993-10-31|10
O1LYSA01|Fmax|Anemograf|1994-05-01|1994-07-31|10
O1LYSA01|Fmax|Anemograf|1994-09-01|1994-10-31|10
O1LYSA01|Fmax|Anemograf|1995-05-01|1995-10-31|10
O1LYSA01|Fmax|Anemograf|1996-05-01|1996-10-31|10
O1LYSA01|Fmax|Anemograf|1997-05-05|1997-09-30|10
O1LYSA01|Fmax|Anemometr miskový|1997-10-01|2002-10-22|10.8
O1LYSA01|Fmax|Ultrasonický snímač|2002-10-23|2020-12-31|10.8
O1MOSN01|Fmax|Anemograf|1961-01-01|1961-04-30|10
O1MOSN01|Fmax|Anemograf|1961-12-01|1988-12-31|10
O1MOSN01|Fmax|Anemograf|1992-08-01|1998-12-31|10
O1MOSN01|Fmax|Anemometr miskový|1999-01-01|2010-11-14|10
O1MOSN01|Fmax|Ultrasonický snímač|2010-11-15|2020-12-31|9.55
O1OPAV01|Fmax|Anemometr miskový|1998-04-01|2020-12-31|10
O1PORU01|Fmax|Anemograf|1968-02-01|1997-12-31|16.5
O1PORU01|Fmax|Anemometr miskový|1998-01-01|2008-06-26|10
O1PORU01|Fmax|Ultrasonický snímač|2008-06-27|2017-06-05|15.65
O1PORU01|Fmax|Ultrasonický snímač|2017-06-05|2020-12-31|15.35
O1PRAD01|Fmax|Anemograf|1961-01-01|1961-06-30|10
O1PRAD01|Fmax|Anemograf|1961-10-01|1961-11-30|10
O1PRAD01|Fmax|Anemograf|1962-07-01|1962-09-30|10
O1PRAD01|Fmax|Anemograf|1963-05-01|1963-09-30|10
